index,genres,keywords,tagline,title,cast,director
1768,Drama,underdog adoption education adoptive father childhood trauma,"doesn't matter where you come from, as long as you find where you belong!",Martian Child,John Cusack Bobby Coleman Amanda Peet Joan Cusack Oliver Platt,Menno Meyjes
1769,Family Comedy Action,spy child hero secret agent espionage,,Spy Kids: All the Time in the World,Jessica Alba Mason Cook Rowan Blanchard Joel McHale Jeremy Piven,Robert Rodriguez
1770,Thriller,bomb sniper tv show hostage drama police,Not every conspiracy is a theory.,Money Monster,George Clooney Julia Roberts Jack O'Connell Caitriona Balfe Dominic West,Jodie Foster
1771,Thriller Action Comedy Crime,chemical laxative skinheads,Nice Wheels. Dirty Deals. And One Mean Mother In A Kilt.,The 51st State,Samuel L. Jackson Robert Carlyle Emily Mortimer Meat Loaf Rhys Ifans,Ronny Yu
1772,Comedy Drama,independent film,,Flawless,Robert De Niro Philip Seymour Hoffman Barry Miller Chris Bauer Skipp Sudduth,Joel Schumacher
1773,Mystery Thriller Crime,fbi island serial killer series of murders,"For seven elite profilers, finding a serial killer is a process of elimination. Their own.",Mindhunters,LL Cool J Jonny Lee Miller Kathryn Morris Patricia Vel\u00e1squez Clifton Collins Jr,Renny Harlin
1774,Comedy Drama,film producer midlife crisis independent film divorce,Admit nothing.,What Just Happened,Bruce Willis Robert De Niro Sean Penn Robin Wright Stanley Tucci,Barry Levinson
1775,Drama Thriller,,"At the end of World War II, many of those involved in war crimes were prosecuted. Some got away. Until now.",The Statement,Michael Caine Tilda Swinton Jeremy Northam Alan Bates Charlotte Rampling,Norman Jewison
1776,Comedy Drama Music,fictional place opera musical,,The Magic Flute,Joseph Kaiser Amy Carson Ren\u00e9 Pape Lyubov Petrova Benjamin Jay Davis,Kenneth Branagh
1777,Action Adventure Comedy Family,security guard duringcreditsstinger,Safety Never Takes A Holiday.,Paul Blart: Mall Cop,Kevin James Keir O'Donnell Jayma Mays Raini Rodriguez Shirley Knight,Steve Carr
1778,Comedy,single parent brother sister relationship mistake in person bride talk show,Mondays are manic. Wednesdays are wild. And Fridays are about to get a little freaky.,Freaky Friday,Jamie Lee Curtis Lindsay Lohan Mark Harmon Harold Gould Haley Hudson,Mark Waters
1779,Comedy Romance,first time virgin,"The longer you wait, the harder it gets",The 40 Year Old Virgin,Steve Carell Catherine Keener Paul Rudd Romany Malco Seth Rogen,Judd Apatow
1780,Romance History,shakespeare love of one's life oscar award theatre play theatre group,Love is the only inspiration.,Shakespeare in Love,Joseph Fiennes Gwyneth Paltrow Geoffrey Rush Tom Wilkinson Judi Dench,John Madden
1781,Crime Drama Mystery Thriller,based on novel murder mafia private investigator new york city,Some people are afraid of all the wrong things,A Walk Among the Tombstones,Liam Neeson Dan Stevens David Harbour Boyd Holbrook Adam David Thompson,Scott Frank
1782,Comedy,crime fighter cook drug dealer dying and death kindergarten,"Go ahead, you tell him you didn't do your homework.",Kindergarten Cop,Arnold Schwarzenegger Penelope Ann Miller Pamela Reed Linda Hunt Richard Tyson,Ivan Reitman
1783,Action Comedy,smoking marijuana stoner roach lollipop,Put this in your pipe and smoke it.,Pineapple Express,Seth Rogen James Franco Danny McBride Gary Cole Rosie Perez,David Gordon Green
1784,Drama Romance Comedy,france child abuse slavery leonardo da vinci prince,Desire. Defy. Escape.,Ever After: A Cinderella Story,Drew Barrymore Dougray Scott Anjelica Huston Megan Dodds Melanie Lynskey,Andy Tennant
1785,Western,horse beef ranger,No place to run. No reason to hide.,Open Range,Kevin Costner Robert Duvall Michael Gambon Michael Jeter Diego Luna,Kevin Costner
1786,Drama Horror Science Fiction Thriller,life and death afterlife swing memory medical student,Some lines shouldn't be crossed.,Flatliners,Kiefer Sutherland Julia Roberts Kevin Bacon William Baldwin Oliver Platt,Joel Schumacher
1787,Drama History War,netherlands world war ii panzer british soldier,Out of the sky comes the screen's most incredible spectacle of men and war!,A Bridge Too Far,Dirk Bogarde James Caan Michael Caine Sean Connery Edward Fox,Richard Attenborough
1788,Horror Thriller,hostage menace hitman airplane,Fear takes flight.,Red Eye,Rachel McAdams Cillian Murphy Brian Cox Jayma Mays Jack Scalia,Wes Craven
1789,Horror Mystery,ambulance premonition hospital,Death is like a boomerang. it keeps coming back,Final Destination 2,Ali Larter A.J. Cook Michael Landes Tony Todd Keegan Connor Tracy,David R. Ellis
1790,Action Adventure Comedy,prophecy southern usa music record country music mississippi,They have a plan...but not a clue.,"O Brother, Where Art Thou?",George Clooney John Turturro Tim Blake Nelson John Goodman Holly Hunter,Joel Coen
1791,Horror,angel diner religion apocalypse demon,"When the last angel falls, the fight for mankind begins.",Legion,Paul Bettany Dennis Quaid Kevin Durand Kate Walsh Doug Jones,Scott Stewart
1792,Thriller Crime Action,miami scam crime weight lifting weightlifting,Their American dream is bigger than yours.,Pain & Gain,Mark Wahlberg Dwayne Johnson Anthony Mackie Tony Shalhoub Ed Harris,Michael Bay
1793,Comedy Drama Romance,midlife crisis daughter bad boss,"He's rich, young and handsome. He's in love with you and he's your dad's boss.",In Good Company,Topher Grace Scarlett Johansson Dennis Quaid Marg Helgenberger David Paymer,Paul Weitz
1794,Adventure Family Science Fiction Thriller,time airplane youth wristwatch,"The adventure of a lifetime, in a few mere seconds.",Clockstoppers,Jesse Bradford Paula Garc\u00e9s Robin Thomas French Stewart Michael Biehn,Jonathan Frakes
1795,Action Crime Drama Western,sheriff fight horse male friendship two guns belt,Four strangers become friends. Four friends become heros. On the road to...,Silverado,Kevin Kline Scott Glenn Kevin Costner Danny Glover Brian Dennehy,Lawrence Kasdan
1796,Drama Thriller War,brother brother relationship brother-in-law loss of husband war in afghanistan sister-in-law,There are two sides to every family.,Brothers,Tobey Maguire Jake Gyllenhaal Natalie Portman Sam Shepard Mare Winningham,Jim Sheridan
1797,Comedy,london england cia teenage hero teen spy cia agent,Adventure is an attitude.,Agent Cody Banks 2: Destination London,Frankie Muniz Anthony Anderson Hannah Spearritt Alfie Allen Cynthia Stevenson,Kevin Allen
1798,Comedy Romance,new year's eve illustrator caterer pedicab ticket,The one night anything is possible.,New Year's Eve,Robert De Niro Katherine Heigl Ashton Kutcher Carla Gugino Lea Michele,Garry Marshall
1799,Drama Thriller Mystery Romance,women sex cuba eroticism lover (female),This is not a love story - it's a story about love.,Original Sin,Angelina Jolie Antonio Banderas Gregory Itzin Jack Thompson Allison Mackie,Michael Cristofer
1800,Crime Thriller Mystery,poison blackmail masked ball historical figure buried alive,The only one who can stop a serial killer is the man who inspired him.,The Raven,John Cusack Luke Evans Alice Eve Brendan Gleeson Kevin McNally,James McTeigue
1801,Comedy,,,Welcome to Mooseport,Ray Romano Gene Hackman Marcia Gay Harden Maura Tierney June Squibb,Donald Petrie
1802,Action Fantasy Science Fiction,japan new york scotland morocco good and bad,"Throughout time they have hunted each other fulfilling the prophecy, that there can be only one.",Highlander: The Final Dimension,Christopher Lambert Mario Van Peebles Deborah Kara Unger Mako Martin Neufeld,Andrew Morahan
1803,Crime Drama Thriller,robbery gun fight love murder,There is no honour amongst thieves.,Blood and Wine,Jack Nicholson Stephen Dorff Jennifer Lopez Judy Davis Michael Caine,Bob Rafelson
1804,Fantasy Horror,jealousy toxication castle step mother fairy-tale figure,The fairy tale is over.,Snow White: A Tale of Terror,Sigourney Weaver Sam Neill Monica Keena Gil Bellows Brian Glover,Michael Cohn
1805,Comedy Crime Mystery Romance Thriller,hypnosis independent film,Love stings,The Curse of the Jade Scorpion,Dan Aykroyd Helen Hunt Woody Allen Charlize Theron David Ogden Stiers,Woody Allen
1806,Romance Comedy,one-night stand romantic comedy accidental love,Sometimes you nail love. Sometimes it nails you.,Accidental Love,Jake Gyllenhaal Jessica Biel James Marsden Catherine Keener Paul Reubens,David O. Russell
1807,Adventure Family,dolphin florida florida keys summer,This summer it's finally safe to go back in the water.,Flipper,Elijah Wood Paul Hogan Jonathan Banks Jason Fuchs Robert Deacon,Alan Shapiro
1808,Science Fiction Mystery Thriller,lie immortality terminal illness laboratory cancer,God Created Man. Man Created Immortality.,Self/less,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Tarsem Singh
1809,Drama Mystery Thriller,aids diplomat nairobi politician pharmaceutical industry,Love. At any cost.,The Constant Gardener,Ralph Fiennes Rachel Weisz Danny Huston Bill Nighy Donald Sumpter,Fernando Meirelles
1810,Drama,christianity jewry roman empire jesus christ suffering,"By his wounds, we were healed.",The Passion of the Christ,Jim Caviezel Maia Morgenstern Monica Bellucci Rosalinda Celentano Sergio Rubini,Mel Gibson
1811,Comedy Drama Family,san francisco parents kids relationship restaurant nanny mask,She makes dinner. She does windows. She reads bedtime stories. She's a blessing... in disguise.,Mrs. Doubtfire,Robin Williams Sally Field Pierce Brosnan Harvey Fierstein Polly Holliday,Chris Columbus
1812,Drama,individual mentally disabled autism loss of father yuppie,A journey through understanding and fellowship.,Rain Man,Dustin Hoffman Tom Cruise Valeria Golino Gerald R. Molen Jack Murdock,Barry Levinson
1813,Drama,rape war veteran immigration priest gang,Ever come across somebody you shouldn't have messed with?,Gran Torino,Clint Eastwood Christopher Carley Bee Vang Ahney Her Brian Haley,Clint Eastwood
1814,Drama History,usa white house usa president george w. bush president,A life misunderestimated.,W.,Josh Brolin Elizabeth Banks Ellen Burstyn Ioan Gruffudd Thandie Newton,Oliver Stone
1815,Action Thriller,paris kidnapping human trafficking rescue prostitution,They took his daughter.  He'll take their lives.,Taken,Liam Neeson Famke Janssen Maggie Grace Katie Cassidy Holly Valance,Pierre Morel
1816,Drama Romance,high school sweetheart,You never forget your first love.,The Best of Me,Michelle Monaghan James Marsden Liana Liberato Luke Bracey Gerald McRaney,Michael Hoffman
1817,Thriller Action Drama Music Romance,sister sister relationship anonymous letter diva bodyguard oscar award,Never let her out of your sight. Never let your guard down. Never fall in love.,The Bodyguard,Whitney Houston Kevin Costner Michele Lamar Richards Ralph Waite Gary Kemp,Mick Jackson
1818,Drama History War,factory concentration camp hero holocaust world war ii,"Whoever saves one life, saves the world entire.",Schindler's List,Liam Neeson Ben Kingsley Ralph Fiennes Caroline Goodall Jonathan Sagall,Steven Spielberg
1819,Drama,mississippi based on novel exploitation racial segregation racism,Change begins with a whisper.,The Help,Emma Stone Viola Davis Octavia Spencer Bryce Dallas Howard Jessica Chastain,Tate Taylor
1820,Drama Thriller,journalist biography internet information leak activist,You can't expose the world's secrets without exposing yourself,The Fifth Estate,Benedict Cumberbatch Daniel Br\u00fchl Anthony Mackie David Thewlis Alicia Vikander,Bill Condon
1821,Mystery Fantasy Adventure Comedy,detective monster engine based on tv series dog,They came. They saw. They ran.,Scooby-Doo 2: Monsters Unleashed,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth Green,Raja Gosnell
1822,Thriller Adventure Mystery Fantasy,monster mystic church demon witchcraft,The truth is in you,Forbidden Kingdom,Jason Flemyng Aleksey Chadov Agniya Ditkovskite Yuriy Tsurilo Olga Zaytseva,Oleg Stepchenko
1823,Horror,murder marijuana teenager bad dream,Evil Will Battle Evil,Freddy vs. Jason,Robert Englund Ken Kirzinger Jason Ritter Monica Keena Lochlyn Munro,Ronny Yu
1824,Thriller Drama,murder investigation,"Forget the truth, find the story.",The Face of an Angel,Kate Beckinsale Cara Delevingne Daniel Br\u00fchl Ava Acres Corrado Invernizzi,Michael Winterbottom
1825,Action Adventure Animation Comedy Family,showdown gi villain genius alien,"He may be small, but he's got a big brain!",Jimmy Neutron: Boy Genius,Debi Derryberry Megan Cavanagh Mark DeCarlo Jeffrey Garcia Patrick Stewart,John A. Davis
1826,Action Thriller Science Fiction,helicopter monster skyscraper fight camcorder,Some Thing Has Found Us,Cloverfield,Lizzy Caplan Jessica Lucas Odette Annable Michael Stahl-David Mike Vogel,Matt Reeves
1827,Science Fiction Adventure Action Comedy Family,crime fighter fight mutant turtle ninja,"Cowabunga, it's the new turtle movie.",Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Paige Turco David Warner Michelan Sisti Leif Tilden Kenn Scott,Michael Pressman
1828,Crime Drama History Thriller,white suit al capone tough cop treasury agent untouchable,What are you prepared to do?,The Untouchables,Kevin Costner Sean Connery Charles Martin Smith Andy Garc\u00eda Robert De Niro,Brian De Palma
1829,Crime Drama Thriller,texas drug traffic hitman united states\u2013mexico barrier suspense,There are no clean getaways.,No Country for Old Men,Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson Kelly Macdonald,Joel Coen
1830,Action Comedy,police operation police officer brother-in-law brother-in-law relationship duringcreditsstinger black men,Propose to this cop's sister? Rookie mistake.,Ride Along,Ice Cube Kevin Hart John Leguizamo Bruce McGill Tika Sumpter,Tim Story
1831,Comedy Romance Drama,holiday london england england alcohol sex,Health Warning: Adopting Bridget's lifestyle could seriously damage your health.,Bridget Jones's Diary,Ren\u00e9e Zellweger Colin Firth Hugh Grant Gemma Jones Jim Broadbent,Sharon Maguire
1832,Comedy Drama Romance,chocolate mayor praline single mother daughter relationship,...and the world is still indulging!,Chocolat,Juliette Binoche Alfred Molina Johnny Depp Judi Dench Leslie Caron,Lasse Hallstr\u00f6m
1833,Comedy,washington d.c. boston chambers of a barrister tierversuch lawyer,Bigger. Bolder. Blonder.,"Legally Blonde 2: Red, White & Blonde",Reese Witherspoon Sally Field Regina King Jennifer Coolidge James Newman,Charles Herman-Wurmfeld
1834,Comedy,,Here come the grandparents.  There go the rules.,Parental Guidance,Billy Crystal Bette Midler Marisa Tomei Tom Everett Scott Bailee Madison,Andy Fickman
1835,Comedy Romance,father son relationship casual meeting student of medicine friends valentine,Friendship has its benefits.,No Strings Attached,Natalie Portman Ashton Kutcher Kevin Kline Cary Elwes Greta Gerwig,Ivan Reitman
1836,Action Adventure Drama History Western,retirement wyatt earp right and justice historical figure,Justice is coming.,Tombstone,Kurt Russell Val Kilmer Sam Elliott Bill Paxton Powers Boothe,George P. Cosmatos
1837,Action Crime Thriller,martial arts hip-hop oakland asian asian man,"In the city ruled by criminals, two families have forgotten their fear. He will make them remember.",Romeo Must Die,Jet Li Aaliyah Isaiah Washington Russell Wong DMX,Andrzej Bartkowiak
1838,Horror Thriller,monk prophecy ambassador nanny rottweiler,It is the greatest mystery of all because no human being will ever solve it.,The Omen,Gregory Peck Lee Remick David Warner Billie Whitelaw Harvey Stephens,Richard Donner
1839,Horror Mystery,beheading dying and death stroke of fate,This Ride Will Be The Death Of You.,Final Destination 3,Mary Elizabeth Winstead Ryan Merriman Kris Lemche Alexz Johnson Sam Easton,James Wong
